電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
B-1,文昌里,基隆市仁愛區文昌里16鄰港西街6號,25.13284553,121.7406073,地下1層,746.0,基隆港務警察總隊老碼頭中隊,
B-2,正砂里,基隆市中正區正砂里19鄰東海街8之1號,25.14239351,121.7595975,地下1層,154.0,基隆港務警察總隊大沙灣中隊,
C-1,太白里,基隆市中山區太白里1鄰中山四路1號,25.14901693,121.7467448,地下1層,92.0,基隆港務警察總隊新碼頭中隊,
