類別,編號,里別,地址,Location,地下層數位址,可容納人數,備註
一般建築,A0001,中山里,高雄市鹽埕區中山里大仁路193號,"22.626899,120.281367",3,5024,
一般建築,A0002,中山里,高雄市鹽埕區中山里大仁路196號,"22.62702,120.2818",1,501,
一般建築,A0003,中山里,高雄市鹽埕區中山里大公路99號,"22.627624,120.282414",3,2490,
一般建築,A0004,中山里,高雄市鹽埕區中山里五福四路307號,"22.625357,120.279463",1,449,
一般建築,A0005,中原里,高雄市鹽埕區中原里七賢三路128號,"22.62604,120.282265",1,554,
一般建築,A0006,中原里,高雄市鹽埕區中原里七賢三路196號,"22.628122,120.283404",1,393,
一般建築,A0007,光明里,高雄市鹽埕區光明里大仁路1號,"22.624314,120.286765",1,313,
一般建築,A0008,光明里,高雄市鹽埕區光明里大仁路27號,"22.624666,120.286105",1,586,
一般建築,A0009,光明里,高雄市鹽埕區光明里大仁路6號,"22.62467,120.286753",2,2452,
一般建築,A0010,光明里,高雄市鹽埕區光明里大勇路106號,"22.624783,120.284744",3,1150,
一般建築,A0011,光明里,高雄市鹽埕區光明里大智路129號,"22.623359,120.286278",2,223,
一般建築,A0012,光明里,高雄市鹽埕區光明里大智路145號,"22.624016,120.286646",1,269,
一般建築,A0013,光明里,高雄市鹽埕區光明里光榮街72號之1,"22.623398,120.285681",1,294,
一般建築,A0014,光明里,高雄市鹽埕區光明里莒光街159號,"22.623519,120.284563",1,822,
一般建築,A0015,光明里,高雄市鹽埕區光明里莒光街213號,"22.624732,120.285189",1,224,
一般建築,A0016,江西里,高雄市鹽埕區江西里五福四路295號,"22.62516,120.279923",1,159,
一般建築,A0017,江西里,高雄市鹽埕區江西里建國四路145號,"22.625087,120.279821",1,151,
一般建築,A0018,江南里,高雄市鹽埕區江南里堀江街31號之1,"22.62176212,120.28175926674",1,581,
一般建築,A0019,江南里,高雄市鹽埕區江南里瀨南街30號,"22.621534,120.28088",1,254,
一般建築,A0020,沙地里,高雄市鹽埕區沙地里五福四路3號,"22.620721,120.288946",4,3090,
一般建築,A0021,沙地里,高雄市鹽埕區沙地里必忠街39號之1,"22.62017613,120.287894469657",2,1464,
一般建築,A0022,沙地里,高雄市鹽埕區沙地里真愛路1號,"22.617996,120.288582",1,15186,
一般建築,A0023,育仁里,高雄市鹽埕區育仁里大智路122號,"22.622913,120.286475",1,272,
一般建築,A0024,育仁里,高雄市鹽埕區育仁里大智路150號,"22.62377966,120.286835383087",1,713,
一般建築,A0025,育仁里,高雄市鹽埕區育仁里大義街113號,"22.622426,120.28661",2,436,
一般建築,A0026,育仁里,高雄市鹽埕區育仁里五福四路16號,"22.621252,120.288702",1,235,
一般建築,A0027,育仁里,高雄市鹽埕區育仁里新樂街46號,"22.623615,120.287903",1,2507,
一般建築,A0028,府北里,高雄市鹽埕區府北里七賢二路425號,"22.629556,120.285612",1,912,
一般建築,A0029,府北里,高雄市鹽埕區府北里七賢二路437號,"22.629417,120.285071",3,2676,
一般建築,A0030,府北里,高雄市鹽埕區府北里七賢二路468號,"22.629705,120.284744",1,301,
一般建築,A0031,府北里,高雄市鹽埕區府北里七賢二路472號,"22.629541,120.284222",1,627,
一般建築,A0032,府北里,高雄市鹽埕區府北里大有街1號,"22.628565,120.286326",1,176,
一般建築,A0033,府北里,高雄市鹽埕區府北里大勇路183巷5號,"22.628177,120.286248",1,65,
一般建築,A0034,府北里,高雄市鹽埕區府北里中正四路274號,"22.626604,120.285954",3,6306,
一般建築,A0035,府北里,高雄市鹽埕區府北里府北路32號,"22.628691,120.285839",2,560,
一般建築,A0036,府北里,高雄市鹽埕區府北里富野路68號,"22.628215,120.284499",1,160,
一般建築,A0037,府北里,高雄市鹽埕區府北里富野路70號,"22.628177,120.284424",1,192,
一般建築,A0038,河濱里,高雄市鹽埕區河濱里五福四路111號,"22.622636,120.284983",3,571,
一般建築,A0039,河濱里,高雄市鹽埕區河濱里必忠街186號,"22.62245068,120.283574485347",1,2058,
一般建築,A0040,南端里,高雄市鹽埕區南端里五福四路45號,"22.621347,120.287638",3,2206,
一般建築,A0041,南端里,高雄市鹽埕區南端里五福四路81號,"22.62218,120.286128",3,1320,
一般建築,A0042,南端里,高雄市鹽埕區南端里公園二路95之1號,"22.62036,120.284863",1,35,
一般建築,A0043,教仁里,高雄市鹽埕區教仁里大安街115號,"22.625971,120.279559",1,330,
一般建築,A0044,教仁里,高雄市鹽埕區教仁里建國四路175號,"22.62612,120.280423",2,905,
一般建築,A0045,教仁里,高雄市鹽埕區教仁里建國四路197號,"22.626888,120.280824",1,122,
一般建築,A0046,教仁里,高雄市鹽埕區教仁里新樂街245號,"22.626344,120.280081",1,387,
一般建築,A0047,教仁里,高雄市鹽埕區教仁里新興街73號之1,"22.625743,120.281065",1,624,
一般建築,A0048,陸橋里,高雄市鹽埕區陸橋里建國四路257號,"22.628617,120.281772",1,322,
一般建築,A0049,博愛里,高雄市鹽埕區博愛里建國四路287號,"22.629549,120.282266",1,64,
一般建築,A0050,博愛里,高雄市鹽埕區博愛里建國四路293號,"22.629659,120.282332",1,205,
一般建築,A0051,港都里,高雄市鹽埕區港都里七賢三路58號,"22.623076,120.280789",1,206,
一般建築,A0052,港都里,高雄市鹽埕區港都里七賢三路60號,"22.623168,120.280842",1,514,19+327
一般建築,A0053,港都里,高雄市鹽埕區港都里必忠街225號,"22.623306,120.281336",1,347,
一般建築,A0054,港都里,高雄市鹽埕區港都里必忠街247號,"22.62378,120.280409",1,202,
一般建築,A0055,港都里,高雄市鹽埕區港都里必忠街248號,"22.623989,120.280366",1,229,
一般建築,A0056,港都里,高雄市鹽埕區港都里新興街40號,"22.624233,120.280591",1,513,
一般建築,A0057,港都里,高雄市鹽埕區港都里瀨南街43號,"22.622112,120.280919",1,198,
一般建築,A0058,新化里,高雄市鹽埕區新化里大義街1號,"22.619119,120.284656",1,3613,
一般建築,A0059,新樂里,高雄市鹽埕區新樂里大勇路85號,"22.624374,120.283951",1,941,
一般建築,A0060,新樂里,高雄市鹽埕區新樂里五福四路178號,"22.623857,120.283627",2,1096,
一般建築,A0061,新樂里,高雄市鹽埕區新樂里瀨南街166之2號,"22.625816,120.283208",2,474,
一般建築,A0062,新樂里,高雄市鹽埕區新樂里鹽埕街10號,"22.624424,120.283184",1,859,
一般建築,A0063,新樂里,高雄市鹽埕區新樂里鹽埕街5號之1,"22.624134,120.283443",1,390,
一般建築,A0064,新豐里,高雄市鹽埕區新豐里新興街2號,"22.62125,120.278885",1.2,6306,
一般建築,A0065,新豐里,高雄市鹽埕區新豐里新興街6號,"22.621751,120.279137",1.2,3261,
一般建築,A0066,壽星里,高雄市鹽埕區壽星里新興街210號,"22.62932,120.28333",1,294,
一般建築,A0067,壽星里,高雄市鹽埕區壽星里興華街43號,"22.630641,120.283725",1,176,
一般建築,A0068,藍橋里,高雄市鹽埕區藍橋里北端街72號,"22.632636,120.2835",3,4091,
一般建築,A0069,藍橋里,高雄市鹽埕區藍橋里建國四路336之1號,"22.632937,120.284487",1,82,
一般建築,A0070,藍橋里,高雄市鹽埕區藍橋里建國四路344號,"22.633182,120.284594",1,160,
一般建築,A0071,藍橋里,高雄市鹽埕區藍橋里新興街303號,"22.632134,120.284518",1,619,
一般建築,A0072,瀨南里,高雄市鹽埕區瀨南里富野路25號,"22.627451,120.285352",1,240,
一般建築,A1489,江南里,高雄市鹽埕區江南里大勇路11號,"22.621086762070252, 120.2817559944766",2,3642,
一般建築,A1490,光明里,高雄市鹽埕區光明里大仁路10號,"22.625102111665623, 120.28640343160664",1,5544,
一般建築,A1491,光明里,高雄市鹽埕區光明里大仁路43號,"22.624813553292423, 120.28566038875609",2,2177,
一般建築,A0073,三川里,高雄市前金區三川里七賢二路118號,"22.63403213,120.297674069166",1.2,452,
辦公室,A0074,三川里,高雄市前金區三川里七賢二路122號,"22.633942,120.297393",1,528,
辦公室,A0075,三川里,高雄市前金區三川里七賢二路156號,"22.633704,120.296701",1,454,
一般建築,A0076,三川里,高雄市前金區三川里瑞源路192號,"22.634913,120.296242",1,69,
一般建築,A0077,大明里,高雄市新興區大明里大同一路180號,"22.62909,120.300895",1,576,
一般建築,A0078,大明里,高雄市新興區大明里大同一路188號,"22.629027,120.300687",1.2.3,2062,
一般建築,A0079,大明里,高雄市新興區大明里中正四路1號,"22.63079,120.301382",1,224,
一般建築,A0080,大明里,高雄市新興區大明里中正四路25號,"22.630807,120.300867",1,200,
一般建築,A0081,大明里,高雄市新興區大明里中正四路53號,"22.630496,120.300034",1,1059,
一般建築,A0082,大明里,高雄市新興區大明里自立二路4號,"22.628969,120.299944",1,680,
一般建築,A0083,大明里,高雄市新興區大明里自立二路8號,"22.629076,120.299901",1,304,
一般建築,A0084,大明里,高雄市新興區大明里南台路16號,"22.629605,120.301041",1,634,
辦公室,A0085,中東里,高雄市新興區中東里七賢一路249號,"22.633842,120.309702",1.2,2522,
一般建築,A0086,中東里,高雄市新興區中東里七賢一路299號,"22.633897,120.308908",1,1271,
一般建築,A0087,中東里,高雄市新興區中東里七賢一路301號,"22.633928,120.308659",1,1147,
旅館,A0088,中東里,高雄市新興區中東里七賢一路311號,"22.633944,120.308092",1.2.3.4.5,3984,
一般建築,A0089,中東里,高雄市新興區中東里七賢一路321號,"22.634015,120.307813",1,1897,
學校,A0090,中東里,高雄市新興區中東里七賢一路393號,"22.633899,120.306945",1,333,
學校,A0091,中東里,高雄市新興區中東里七賢一路393號,"22.63375259786172, 120.30648714080193",1,333,
