類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
中正國民中學,中船里,基隆市中正區中船路36巷59號,"25.13537, 121.75398",1.0,1133,第二分局,,"中正國民中學 中船005 中船里 基隆市中正區中船路36巷59號 1133 第二分局"
中正國民中學,中船里,基隆市中正區中船路36巷59號,"25.13537, 121.75398",1.0,811,第二分局,,"中正國民中學 中船006 中船里 基隆市中正區中船路36巷59號 811 第二分局"
10樓電梯,中濱里,基隆市中正區中正路510號,"25.14912, 121.76363",1.0,175,第二分局,,"10樓電梯 中濱001 中濱里 基隆市中正區中正路510號 175 第二分局"
小西湖漁網行,中濱里,基隆市中正區中正路381號,"25.15035, 121.76522",1.0,427,第二分局,,"小西湖漁網行 中濱004 中濱里 基隆市中正區中正路381號 427 第二分局"
7樓華廈,仁義里,基隆市信義區義六路25號,"25.13527, 121.74738",2.0,187,第二分局,,"7樓華廈 仁義004 仁義里 基隆市信義區義六路25號 187 第二分局"
信義區公所,仁義里,基隆市信義區信二路179號,"25.12937, 121.7508",1.0,824,第二分局,,"信義區公所 仁義005 仁義里 基隆市信義區信二路179號 824 第二分局"
信義公教華廈,仁義里,基隆市信義區義六路15號,"25.12984, 121.75103",1.0,203,第二分局,,"信義公教華廈 仁義006 仁義里 基隆市信義區義六路15號 203 第二分局"
海港樓餐廳,仁義里,基隆市信義區信二路181號,"25.12921, 121.74977",1.0,310,第二分局,,"海港樓餐廳 仁義007 仁義里 基隆市信義區信二路181號 310 第二分局"
信義延吉,仁義里,基隆市信義區信一路96巷7號,"25.12883, 121.74872",2.0,252,第二分局,,"信義延吉 仁義008 仁義里 基隆市信義區信一路96巷7號 252 第二分局"
基隆極樂寺,仁壽里,基隆市信義區信二路270號,"25.131, 121.74728",1.0,1123,第二分局,,"基隆極樂寺 仁壽002 仁壽里 基隆市信義區信二路270號 1123 第二分局"
公寓大樓,仁壽里,基隆市信義區信二路265號,"25.13021, 121.74758",1.0,153,第二分局,,"公寓大樓 仁壽003 仁壽里 基隆市信義區信二路265號 153 第二分局"
華廈,仁壽里,基隆市信義區信一路141巷25號,"25.13004, 121.7479",1.0,173,第二分局,,"華廈 仁壽004 仁壽里 基隆市信義區信一路141巷25號 173 第二分局"
大三大樓,仁壽里,基隆市信義區信一路133之6號,"25.12919, 121.74754",2.0,705,第二分局,,"大三大樓 仁壽008 仁壽里 基隆市信義區信一路133之6號 705 第二分局"
全家、好樂迪,仁壽里,基隆市信義區信一路148號,"25.12959, 121.74692",3.0,1834,第二分局,,"全家、好樂迪 仁壽009 仁壽里 基隆市信義區信一路148號 1834 第二分局"
基隆市教會第一聚會所,仁壽里,基隆市信義區信二路225號,"25.13004, 121.7479",1.0,416,第二分局,,"基隆市教會第一聚會所 仁壽010 仁壽里 基隆市信義區信二路225號 416 第二分局"
海頓華廈,仁壽里,基隆市信義區信一路111號,"25.13004, 121.7479",1.0,71,第二分局,,"海頓華廈 仁壽011 仁壽里 基隆市信義區信一路111號 71 第二分局"
華爾街名廈,仁壽里,基隆市信義區信一路141巷26號,"25.13013, 121.74768",1.0,181,第二分局,,"華爾街名廈 仁壽012 仁壽里 基隆市信義區信一路141巷26號 181 第二分局"
私宅,仁壽里,基隆市信義區義五路13巷25號,"25.12911, 121.74863",3.0,362,第二分局,,"私宅 仁壽013 仁壽里 基隆市信義區義五路13巷25號 362 第二分局"
基隆市議會,仁壽里,基隆市信義區壽山路5號,"25.13137, 121.74886",2.0,2861,第二分局,,"基隆市議會 仁壽014 仁壽里 基隆市信義區壽山路5號 2861 第二分局"
勝佳生活百貨,仁壽里,基隆市信義區信一路130之1號,"25.12907, 121.74784",1.0,124,第二分局,,"勝佳生活百貨 仁壽016 仁壽里 基隆市信義區信一路130之1號 124 第二分局"
陽信銀行,仁壽里,基隆市信義區信一路117號,"25.13004, 121.7479",2.0,207,第二分局,,"陽信銀行 仁壽017 仁壽里 基隆市信義區信一路117號 207 第二分局"
華廈,仁壽里,基隆市信義區義三路12巷9號,"25.1302, 121.74712",2.0,120,第二分局,,"華廈 仁壽018 仁壽里 基隆市信義區義三路12巷9號 120 第二分局"
台灣造船股份有限公司,平寮里,基隆市中正區和一路224號,"25.15562, 121.76231",1.0,1777,第二分局,,"台灣造船股份有限公司 平寮001 平寮里 基隆市中正區和一路224號 1777 第二分局"
