電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QPA00185,光華里,屏東縣潮州鎮光華里福星路331號,1.0,4993.0,潮州分局,
QQA00003,光華里,屏東縣潮州鎮光華里南京路161-1號,1.0,300.0,潮州分局,
QQA00004,光華里,屏東縣潮州鎮光華里中山路11號,1.0,1629.0,潮州分局,共有5處、總計可容納人數2944人
QQA00005,光華里,屏東縣潮州鎮光華里中山路11號,1.0,97.0,潮州分局,共有5處、總計可容納人數2944人
QQA00006,光華里,屏東縣潮州鎮光華里中山路11號,1.0,201.0,潮州分局,共有5處、總計可容納人數2944人
QQA00007,光華里,屏東縣潮州鎮光華里中山路11號,1.0,252.0,潮州分局,共有5處、總計可容納人數2944人
QQA00191,光華里,屏東縣潮州鎮光華里中山路11號,1.0,765.0,潮州分局,共有5處、總計可容納人數2944人
QQA00011,光華里,屏東縣潮州鎮光華里中山路12號,1.0,585.0,潮州分局,
QQA00008,光華里,屏東縣潮州鎮光華里中山路35號,1.0,28.0,潮州分局,
QQA00031,光華里,屏東縣潮州鎮光華里中山路60號,1.0,21.0,潮州分局,
QQA00013,光華里,屏東縣潮州鎮光華里中山路62號,1.0,21.0,潮州分局,
QQA00012,光華里,屏東縣潮州鎮光華里育英路27號,1.0,52.0,潮州分局,
QPA00067,光華里,屏東縣潮州鎮光華里南進路2號,1.0,108.0,潮州分局,共有4處、總計可容納人數1742人
QPA00058,光華里,屏東縣潮州鎮光華里南進路2號,1.0,378.0,潮州分局,共有4處、總計可容納人數1742人
QPA00033,光華里,屏東縣潮州鎮光華里南進路2號,1.0,444.0,潮州分局,共有4處、總計可容納人數1742人
QPA00022,光華里,屏東縣潮州鎮光華里南進路2號,1.0,812.0,潮州分局,共有4處、總計可容納人數1742人
QPA00001,光華里,屏東縣潮州鎮光華里南進路2巷18號,1.0,80.0,潮州分局,
QPA00006,光華里,屏東縣潮州鎮光華里永安路32號,1.0,54.0,潮州分局,
QQA00001,光華里,屏東縣潮州鎮光華里福康街29號,1.0,2036.0,潮州分局,
QQA00002,光華里,屏東縣潮州鎮光華里華安街4號,1.0,481.0,潮州分局,
QPA00196,光華里,屏東縣潮州鎮光華里永康街66號,1.0,1016.0,潮州分局,
QQA00010,光華里,屏東縣潮州鎮光華里三華巷16號,1.0,208.0,潮州分局,
QQA00034,潮州里,屏東縣潮州鎮潮州里建基路93號,1.0,12.0,潮州分局,
QPA00073,潮州里,屏東縣潮州鎮潮州里建基路138號,1.0,42.0,潮州分局,
QPA00028,潮州里,屏東縣潮州鎮潮州里延平路30號,1.0,249.0,潮州分局,
QQA00035,潮州里,屏東縣潮州鎮潮州里南進路43號,1.0,36.0,潮州分局,
QQA00028,潮州里,屏東縣潮州鎮潮州里南進路45號,1.0,20.0,潮州分局,
QQA00033,潮州里,屏東縣潮州鎮潮州里南進路49號,1.0,20.0,潮州分局,
QPA00001,潮州里,屏東縣潮州鎮潮州里南進路51號,1.0,26.0,潮州分局,
QPA00074,潮州里,屏東縣潮州鎮潮州里長興路60號,1.0,134.0,潮州分局,
QQA00014,三星里,屏東縣潮州鎮三星里潮州路1148號,1.0,872.0,潮州分局,
