類別,建築物名稱,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,備註,placemark_address
地下室,農田水利會,JPA00203,和東里,彰化縣和美鎮和東里仁安路206號,24.11097134,120.4992109,"1 ","347 ",,彰化縣和美鎮和東里仁安路206號
地下室,和東國小,JPA00048,和東里,彰化縣和美鎮和東里彰美路5段210號,24.10893542,120.5015804,"1 ","222 ",,彰化縣和美鎮和東里彰美路5段210號
地下室,和東國小,JPA00100,和東里,彰化縣和美鎮和東里彰美路5段210號,24.10893542,120.5015804,"1 ","243 ",,彰化縣和美鎮和東里彰美路5段210號
地下室,和東國小,JPA00059,和東里,彰化縣和美鎮和東里彰美路5段210號,24.10893542,120.5015804,"1 ","250 ",,彰化縣和美鎮和東里彰美路5段210號
地下室,和東國小,JPA00209,和東里,彰化縣和美鎮和東里彰美路5段210號,24.10893542,120.5015804,"1 ","347 ",,彰化縣和美鎮和東里彰美路5段210號
地下室,和東國小,JPA00070,和東里,彰化縣和美鎮和東里彰美路5段210號,24.10893542,120.5015804,"1 ","83 ",,彰化縣和美鎮和東里彰美路5段210號
地下室,新光人壽,JPA00182,和東里,彰化縣和美鎮和東里彰美路4段438號,24.10602678,120.5055571,"1 ","69 ",,彰化縣和美鎮和東里彰美路4段438號
地下室,和美國中,JPA00032,和西里,彰化縣和美鎮和西里西園路31號,24.11347781,120.4937022,"1 ","104 ",,彰化縣和美鎮和西里西園路31號
地下室,和美國中,JPA00037,和西里,彰化縣和美鎮和西里西園路31號,24.11347781,120.4937022,"1 ","118 ",,彰化縣和美鎮和西里西園路31號
地下室,和美國中,JPA00236,和西里,彰化縣和美鎮和西里西園路31號,24.11347781,120.4937022,"1 ","138 ",,彰化縣和美鎮和西里西園路31號
地下室,和美國中,JPA00254,和西里,彰化縣和美鎮和西里西園路31號,24.11347781,120.4937022,"1 ","243 ",,彰化縣和美鎮和西里西園路31號
地下室,和美國中,JPA00297,和西里,彰化縣和美鎮和西里西園路31號,24.11347781,120.4937022,"1 ","208 ",,彰化縣和美鎮和西里西園路31號
地下室,大樓,JPA00242,和西里,彰化縣和美鎮和西里和線路77號,24.11462749,120.4926685,"1 ","125 ",,彰化縣和美鎮和西里和線路77號
地下室,耀億織造廠,JPA00051,四張里,彰化縣和美鎮德美路766號,24.11916613,120.4938283,"1 ","347 ",,彰化縣和美鎮德美路766號
