"unnamed (1)",類別,電腦編號,村里別,地址,經緯度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註,placemark_address
1.0,大樓,ENA01002,田心里,337桃園市大園區田心里5鄰大觀路53號,"25.064938603385016, 121.19474638731202",2.0,518.0,大園分局,,,"25.064938603385016, 121.19474638731202"
2.0,大樓,ENA01003,田心里,337桃園市大園區田心里5鄰大觀路33號,"25.064940465016136, 121.19532965603622",1.0,110.0,大園分局,,,"25.064940465016136, 121.19532965603622"
3.0,大樓,ENA01016,田心里,337桃園市大園區田心里7鄰新興路46號,"25.063831421704148, 121.19442996495042",1.0,83.0,大園分局,,,"25.063831421704148, 121.19442996495042"
4.0,大樓,ENA01017,田心里,337桃園市大園區田心里7鄰新興路42號,"25.064018541050142, 121.19433469299898",1.0,93.0,大園分局,V,,"25.064018541050142, 121.19433469299898"
5.0,分局,ENA01018,田心里,(機敏單位),,1.0,44.0,大園分局,,337桃園市大園區田心里9鄰中正西路13號
6.0,大樓,ENA01019,田心里,337桃園市大園區田心里6鄰華興路40號,"25.063694979265684, 121.19334773414954",1.0,52.0,大園分局,V,,"25.063694979265684, 121.19334773414954"
7.0,大樓,ENA01020,田心里,337桃園市大園區田心里7鄰中正西路36號,"25.063490558296913, 121.19476214971732",1.0,117.0,大園分局,,,"25.063490558296913, 121.19476214971732"
8.0,大興高中,ENA01023,田心里,337桃園市大園區田心里18鄰永興路142號,"25.06201407173499, 121.19276127653522",1.0,274.0,大園分局,V,,"25.06201407173499, 121.19276127653522"
9.0,大樓,ENA01024,田心里,337桃園市大園區田心里新興路132號,"25.061702535061386, 121.19510491306035",1.0,1336.0,大園分局,,,"25.061702535061386, 121.19510491306035"
10.0,大樓,ENA01025,田心里,337桃園市大園區田心里4鄰大觀路255號,"25.065480723514163, 121.18836762307325",1.0,43.0,大園分局,,,"25.065480723514163, 121.18836762307325"
11.0,大樓大園國小,ENA01028,橫峰里,337桃園市大園區橫峰里12鄰中山南路351號,"25.05907788979102, 121.2026791806202",1.0,380.0,大園分局,V,,"25.05907788979102, 121.2026791806202"
12.0,大樓大園國小,ENA01029,橫峰里,337桃園市大園區橫峰里12鄰中山南路351號,"25.05907788979102, 121.2026791806202",1.0,653.0,大園分局,V,,"25.05907788979102, 121.2026791806202"
13.0,金融,ENA01031,橫峰里,(機敏單位),,1.0,713.0,大園分局,,337桃園市大園區橫峰里10鄰中正東路103號
14.0,大樓,ENA01032,青山里,337桃園市大園區青山里中山南路二段156號,"25.03218818640882, 121.21201648598263",1.0,26.0,大園分局,,,"25.03218818640882, 121.21201648598263"
15.0,消防隊,ENA01033,橫峰里,(機敏單位),,1.0,94.0,大園分局,V,337桃園市大園區橫峰里11鄰和平二街18號
16.0,大樓,ENA01034,青山里,337桃園市大園區青山里中山南路二段206號,"25.031076602853936, 121.21217084844395",1.0,203.0,大園分局,,,"25.031076602853936, 121.21217084844395"
17.0,大樓,ENA01037,青峰里,337桃園市大園區青山里中山南路二段379號,"25.0266821472748, 121.21369774287085",1.0,300.0,大園分局,,,"25.0266821472748, 121.21369774287085"
18.0,大樓,ENA01040,青山里,337桃園市大園區青山里中山南路二段586號,"25.021745504613552, 121.21270393269012",1.0,101.0,大園分局,,,"25.021745504613552, 121.21270393269012"
19.0,大樓,ENA01042,溪海里,337桃園市大園區溪海里8鄰聖德北路52巷43號,"25.0477207278184, 121.18988084639959",1.0,71.0,大園分局,,,"25.0477207278184, 121.18988084639959"
20.0,大樓,ENA01043,溪海里,337桃園市大園區溪海里8鄰聖德北路68號,"25.047659958168534, 121.19040871754443",1.0,165.0,大園分局,,,"25.047659958168534, 121.19040871754443"
21.0,大樓,ENA01044,溪海里,337桃園市大園區溪海里11鄰崙頂38號,"25.0465122157817, 121.19079600837146",1.0,194.0,大園分局,,,"25.0465122157817, 121.19079600837146"
22.0,公寓,ENA01045,溪海里,337桃園市大園區溪海里11鄰和平西路一段369號,"25.046254791898566, 121.18871374441264",1.0,267.0,大園分局,V,,"25.046254791898566, 121.18871374441264"
23.0,大樓,ENA01051,大園里,337桃園市大園區大園里11鄰中山北路44號,"25.06490460015318, 121.19711030352379",1.0,91.0,大園分局,,,"25.06490460015318, 121.19711030352379"
24.0,大園戶政事務所,ENA01054,大園里,337桃園市大園區大園里18鄰中山北路162號,"25.06786962290165, 121.1958482543291",1.0,158.0,大園分局,V,,"25.06786962290165, 121.1958482543291"
25.0,大園衛生所,ENA01055,田心里,337桃園市大園區田心里9鄰中正西路19號,"25.063470888792036, 121.19537177996726",2.0,1293.0,大園分局,,,"25.063470888792036, 121.19537177996726"
26.0,大樓,ENA01056,大園里,337桃園市大園區大園里33鄰和平二街114巷6號,"25.062810162208198, 121.19889305314533",1.0,287.0,大園分局,,,"25.062810162208198, 121.19889305314533"
27.0,大樓,ENA01058,橫峰里,337桃園市大園區橫峰里12鄰中山南路310號,"25.059305105131013, 121.20121663482189",3.0,680.0,大園分局,,,"25.059305105131013, 121.20121663482189"
28.0,大樓,ENA01059,橫峰里,337桃園市大園區橫峰里12鄰水源路11號,"25.058937941191967, 121.20123434087695",3.0,1576.0,大園分局,,,"25.058937941191967, 121.20123434087695"
29.0,大樓,ENA01060,田心里,337桃園市大園區田心里20鄰長興街50號,"25.059165060921767, 121.19519888763666",2.0,2589.0,大園分局,V,,"25.059165060921767, 121.19519888763666"
30.0,大樓,ENA01061,溪海里,337桃園市大園區溪海里17鄰聖德北路1076巷1號,"25.02727940807809, 121.19468438885644",2.0,1436.0,大園分局,,,"25.02727940807809, 121.19468438885644"
31.0,大樓,ENA01062,和平里,337桃園市大園區和平里1鄰開和路128號,"25.04793136389149, 121.17796017915944",1.0,195.0,大園分局,,,"25.04793136389149, 121.17796017915944"
32.0,大樓,ENA01063,田心里,337桃園市大園區田心里15鄰新園街62號,"25.06124361882986, 121.19389655622287",2.0,1876.0,大園分局,,,"25.06124361882986, 121.19389655622287"
33.0,大樓,ENA01064,溪海里,337桃園市大園區溪海里22鄰柴梳崙路338號,"25.0291216962205, 121.1880507641905",1.0,750.0,大園分局,,,"25.0291216962205, 121.1880507641905"
34.0,大樓,ENA01065,橫峰里,337桃園市大園區橫峰里中正東路200號,"25.061586282007653, 121.20304333460786",1.0,220.0,大園分局,,,"25.061586282007653, 121.20304333460786"
35.0,大園區公所,ENA01066,田心里,337桃園市大園區田心里7鄰中正西路12號,"25.06390905071998, 121.19545761756342",2.0,850.0,大園分局,V,,"25.06390905071998, 121.19545761756342"
36.0,大樓,ENA01067,田心里,337桃園市大園區田心里12鄰大興路107-1號,"25.06209977637184, 121.19330536710513",2.0,3906.0,大園分局,V,,"25.06209977637184, 121.19330536710513"
37.0,大樓,ENA01068,田心里,337桃園市大園區田心里23鄰和平西路112號,"25.057545749986655, 121.19695656768256",2.0,3641.0,大園分局,,,"25.057545749986655, 121.19695656768256"
38.0,大樓,ENA01069,田心里,337桃園市大園區田心里21鄰新興路268巷9號,"25.05778076239567, 121.19552896959583",2.0,617.0,大園分局,,,"25.05778076239567, 121.19552896959583"
39.0,大樓,ENA01070,溪海里,337桃園市大園區溪海里11鄰崙頂38號,"25.0465122157817, 121.19079600837146",1.0,124.0,大園分局,,,"25.0465122157817, 121.19079600837146"
40.0,大樓,ENA01071,青山里,337桃園市大園區青山里永園路二段87號,"25.01819534627023, 121.20997222951429",2.0,684.0,大園分局,,,"25.01819534627023, 121.20997222951429"
41.0,大樓,ENA01072,大園里,337桃園市大園區大園里中華路2號,"25.06600388499124, 121.1975097745931",2.0,792.0,大園分局,V,,"25.06600388499124, 121.1975097745931"
42.0,大樓,ENA01073,青山里,337桃園市大園區2鄰永園路二段183巷85-6號,"25.019746942738706, 121.2101401353543",3.0,3616.0,大園分局,V,,"25.019746942738706, 121.2101401353543"
43.0,大樓,ENA01074,田心里,337桃園市大園區2鄰國際路一段17號,"25.067499187397416, 121.18471866743437",1.0,16.0,大園分局,V,,"25.067499187397416, 121.18471866743437"
44.0,大樓,ENA01075,田心里,337桃園市大園區21鄰新興路268巷16號,"25.0582557437898, 121.19559141584485",2.0,885.0,大園分局,V,,"25.0582557437898, 121.19559141584485"
45.0,油庫,ENA02003,沙崙里,(機敏單位),,1.0,47.0,大園分局,,337桃園市大園區沙崙里6鄰桃25鄉道118-1號
46.0,油庫,ENA02004,沙崙里,(機敏單位),,1.0,81.0,大園分局,,337桃園市大園區沙崙里6鄰桃25鄉道118-1號
47.0,公寓,ENA02005,海口里,337桃園市大園區海口里7鄰三民路一段122巷12號,"25.104449923725163, 121.24629506743534",1.0,1171.0,大園分局,,,"25.104449923725163, 121.24629506743534"
48.0,公寓,ENA02006,海口里,337桃園市大園區海口里9鄰國際路三段932號,"25.10856400730015, 121.2496365578652",1.0,1428.0,大園分局,,,"25.10856400730015, 121.2496365578652"
49.0,大樓,ENA02007,竹圍里,337桃園市大園區竹圍里19鄰航翔路99號,"25.09665533670835, 121.25649762062284",1.0,8649.0,大園分局,Ｖ,,"25.09665533670835, 121.25649762062284"
50.0,大樓,ENA02008,竹圍里,337桃園市大園區竹圍里19鄰航翔路117號,"25.09621715125407, 121.25334709387458",1.0,11966.0,大園分局,Ｖ,,"25.09621715125407, 121.25334709387458"
51.0,大樓,ENA02009,竹圍里,337桃園市大園區竹圍里19鄰航翔路9號,"25.09323784690028, 121.25356947683666",2.0,22950.0,大園分局,Ｖ,,"25.09323784690028, 121.25356947683666"
52.0,大樓,ENA03003,埔心里,337桃園市大園區埔心里中正東路444巷21號,"25.058713645776763, 121.21145689172367",1.0,2341.0,大園分局,,,"25.058713645776763, 121.21145689172367"
53.0,公寓,ENA03004,埔心里,337桃園市大園區埔心里18鄰海豐坡23之10號,"25.051255234518628, 121.21970814778926",1.0,1003.0,大園分局,,,"25.051255234518628, 121.21970814778926"
54.0,公寓,ENA03005,埔心里,337桃園市大園區埔心里中正東路一段840巷119號,"25.033632056767285, 121.23352893859735",1.0,150.0,大園分局,,,"25.033632056767285, 121.23352893859735"
55.0,公寓,ENA03006,埔心里,337桃園市大園區埔心里中正東路一段700巷29-1號,"25.038350310815034, 121.22814598581246",1.0,3578.0,大園分局,,,"25.038350310815034, 121.22814598581246"
56.0,大樓,ENA03007,五權里,337桃園市大園區五權里12鄰中正東路三段61巷123號,"25.017093522292114, 121.23180926743301",1.0,568.0,大園分局,,,"25.017093522292114, 121.23180926743301"
57.0,大樓,ENA03008,五權里,337桃園市大園區五權里五青路143號,"25.02055415544462, 121.23663243470102",1.0,140.0,大園分局,,,"25.02055415544462, 121.23663243470102"
58.0,公寓,ENA03009,五權里,337桃園市大園區五權里五青路70巷180號,"25.025789159966187, 121.23628553815416",1.0,3185.0,大園分局,,,"25.025789159966187, 121.23628553815416"
59.0,大樓,ENA03010,五權里,337桃園市大園區五權里中正東路二段511巷36之1號,"25.025048674045955, 121.2327266372904",1.0,122.0,大園分局,,,"25.025048674045955, 121.2327266372904"
60.0,大樓,ENA03011,五權里,337桃園市大園區五權里中正東路二段511巷36號,"25.02505630797277, 121.2327504484506",1.0,268.0,大園分局,,,"25.02505630797277, 121.2327504484506"
61.0,大樓,ENA03014,五權里,337桃園市大園區五權里4鄰五青路515號,"25.02040018564035, 121.22641443423403",2.0,671.0,大園分局,,,"25.02040018564035, 121.22641443423403"
62.0,大樓,ENA03015,五權里,337桃園市大園區五權里8鄰高鐵站前西路三段77號,"25.006609598931142, 121.22623727813945",1.0,6755.0,大園分局,Ｖ,,"25.006609598931142, 121.22623727813945"
63.0,大樓,ENA03016,五權里,337桃園市大園區五權里09鄰中正東路三段429號,"25.007411330572033, 121.22820299909706",1.0,350.0,大園分局,,,"25.007411330572033, 121.22820299909706"
64.0,大樓,ENA03017,五權里,337桃園市大園區五權里9鄰中正東路三段245巷30弄71號,"25.010675202057858, 121.22909402563427",1.0,233.0,大園分局,,,"25.010675202057858, 121.22909402563427"
65.0,大樓,ENA03020,五權里,337桃園市大園區五權里8鄰高鐵站前西路三段66號,"25.006049361313604, 121.22596294328297",2.0,9857.0,大園分局,,,"25.006049361313604, 121.22596294328297"
66.0,大樓,ENA03021,五權里,337桃園市大園區五權里8鄰高鐵站前西路三段68號,"25.0064653529294, 121.22581955312626",2.0,9219.0,大園分局,,,"25.0064653529294, 121.22581955312626"
67.0,大樓,ENA03024,五權里,337桃園市大園區五權里中正東路三段336巷83號,"25.012059833048408, 121.22574677356633",2.0,160.0,大園分局,,,"25.012059833048408, 121.22574677356633"
68.0,大樓,ENA03025,五權里,337桃園市大園區五權里中興路二段371巷19號,"25.01369656426315, 121.23274238810603",2.0,712.0,大園分局,,,"25.01369656426315, 121.23274238810603"
69.0,大樓,ENA03026,五權里,337桃園市大園區五權里青昇路一段132巷338-1號,"25.007642795789447, 121.22610250423358",1.0,879.0,大園分局,V,,"25.007642795789447, 121.22610250423358"
70.0,公寓,ENA03027,五權里,337桃園市大園區五權里五青路183巷168號,"25.016188844783933, 121.23594886743301",1.0,397.0,大園分局,,,"25.016188844783933, 121.23594886743301"
71.0,公寓,ENA03028,五權里,337桃園市大園區五權里9鄰中正東路三段131巷88號,"25.014939345081515, 121.22988133859694",1.0,288.0,大園分局,,,"25.014939345081515, 121.22988133859694"
72.0,大樓,ENA03029,五權里,337桃園市大園區五權里11鄰五青路151巷325號,"25.012056856153652, 121.23680040488678",2.0,1034.0,大園分局,,,"25.012056856153652, 121.23680040488678"
73.0,公寓埔心國小,ENA03030,埔心里,337桃園市大園區中正東路一段189巷35號,"25.049012675211866, 121.22566933859777",1.0,112.0,大園分局,V,,"25.049012675211866, 121.22566933859777"
74.0,大樓,ENA03031,埔心里,337桃園市大園區埔心里16鄰航勤北路8-6號,"25.091103, 121.248425",1.0,545.0,大園分局,,,"25.091103, 121.248425"
