建築物名稱,里別,地址,緯度,經度,避難樓層,防空避難設備面積,可容納人數,轄管分局,備註
東騰青一,青溪里,桃園市桃園區青溪里17鄰朝陽街353號3樓,25.00685007,121.3099394,B01B02B03B04,1953.48,1356.0,桃園分局,
麗寶南法莊園-霞慕尼,青溪里,桃園市桃園區青溪里18鄰日光路21號16樓,25.00075821,121.3112247,B01B02B03B04,2760.15,1916.0,桃園分局,
定泰臻翫,青溪里,桃園市桃園區青溪里15鄰三民路二段132號12樓,25.0010753,121.314514,B01B02B03B04,2139.68,1485.0,桃園分局,
亞太嵿富,汴洲里,桃園市桃園區汴洲里1鄰經國一路68號,25.02885677,121.2994831,B01B02B03B04,2494.6,1732.0,桃園分局,
麗寶南法莊園-普羅旺斯,青溪里,桃園市桃園區青溪里16鄰日光路96號,25.00220034,121.3111121,B01B02B03B04,1967.25,1366.0,桃園分局,
民宅,文中里,桃園市桃園區文中里22鄰文中一路213巷19號,25.00029683,121.2925507,B01,182.17,202.0,桃園分局,
大觀雲滙,南埔里,桃園市桃園區南埔里008鄰吉安街158號,25.00401936,121.2904619,B01B02B03,2107.12,1463.0,桃園分局,
築億海格社區,汴洲里,桃園市桃園區汴洲里34鄰水岸二街270號二樓,"25.030375 ","121.296981 ",B01B02B03B04,1352.77,939.0,桃園分局,
聖保祿醫院,福林里,桃園市桃園區福林里002鄰建新街151號,"24.980713 ","121.311366 ",B01B02B03B04,8002.27,5557.0,桃園分局,
昭陽天地社區,中成里,桃園市桃園區中成里006鄰文中一路296號,"25.003072 ","121.293165 ",B01B02,4171.18,2896.0,桃園分局,
民宅,龍鳳里,桃園市桃園區龍鳳里7鄰龍鳳一街3號,"24.986358 ","121.280741 ",B01,185.87,129.0,桃園分局,
京澄為樂社區,文中里,桃園市桃園區文中里22鄰正光路393號,"25.000234 ","121.294414 ",B01B02B03,1142.24,793.0,桃園分局,
昭陽天寬社區,中成里,桃園市桃園區中成里006鄰溫州一路188號八樓,"25.002653 ","121.291736 ",B01B02B03,2716.81,1886.0,桃園分局,
竹城東京都社區,同德里,桃園市桃園區同德里015鄰中埔一街88巷20號2樓,"25.013982 ","121.297073 ",B01B02B03,1959.97,1361.0,桃園分局,
京城建築公司,汴洲里,桃園市桃園區汴洲里12鄰至善街290號,"25.021383 ","121.316589 ",B01,653.95,454.0,桃園分局,
西廟,西湖里,桃園市桃園區西湖里1鄰中山路222號,"24.992945 ","121.307666 ",B01,756.1,840.0,桃園分局,
僑馥建築公司,大豐里,桃園市桃園區大豐里3鄰延平路66號,"24.984345 ","121.314037 ",B01B02B03,2540.11,1763.0,桃園分局,
亞昕一見社區,青溪里,桃園市桃園區青溪里16鄰三民路二段172號11樓,"25.001842 ","121.313471 ",B01B02B03,3241.94,2251.0,桃園分局,
誠鑫風禾秀社區,文中里,桃園市桃園區文中里21鄰文中二路135號,"24.999907 ","121.289587 ",B01B02B03,825.02,572.0,桃園分局,
謙成無二社區,中正里,桃園市桃園區中正里1鄰縣府路256巷10號,"24.993785 ","121.298583 ",B01B02,905.42,628.0,桃園分局,
沐樂社區,汴洲里,桃園市桃園區汴洲里34鄰水岸七街1號,"25.030887 ","121.295157 ",B01B02B03B04,1198.48,832.0,桃園分局,
昭陽天濤社區,青溪里,桃園市桃園區青溪里017鄰中央街333號二樓,"25.004719 ","121.314161 ",B01B02B03,1513.21,1050.0,桃園分局,
