編號,地址,避難所在之地下樓層數,可容納人數,經度,緯度,里別,轄管分局
1.0,臺中市龍井區海尾路240巷11號,1,60.0,"120.520203 ","24.219809 ",忠和里,烏日分局
2.0,臺中市龍井區海尾路278巷53號,1,86.0,"120.516214 ","24.221077 ",忠和里,烏日分局
3.0,臺中市龍井區海尾路240巷42號,1,42.0,"120.521227 ","24.219604 ",忠和里,烏日分局
4.0,臺中市龍井區工業路182巷29號,1,84.0,"120.519419 ","24.216397 ",忠和里,烏日分局
5.0,臺中市龍井區台西南路211號,1,87.0,"120.517626 ","24.221070 ",忠和里,烏日分局
6.0,臺中市龍井區海尾路328號,1,62.0,"120.511076 ","24.218735 ",忠和里,烏日分局
7.0,臺中市龍井區工業路188巷5號,1,68.0,"120.516372 ","24.214517 ",忠和里,烏日分局
8.0,臺中市龍井區工業路188巷1號,1,166.0,"120.516053 ","24.214110 ",忠和里,烏日分局
9.0,臺中市龍井區工業路177巷8號,1,90.0,"120.515461 ","24.212721 ",忠和里,烏日分局
10.0,臺中市龍井區臨港路二段54號,1,76.0,"120.509483 ","24.216916 ",忠和里,烏日分局
11.0,臺中市龍井區工業路167號,1,48.0,"120.519681 ","24.212054 ",忠和里,烏日分局
12.0,臺中市龍井區工業路177巷13號,1,87.0,"120.515820 ","24.211480 ",忠和里,烏日分局
13.0,臺中市龍井區中央路三段282號,1,907.0,"120.527721 ","24.218388 ",忠和里,烏日分局
14.0,臺中市龍井區三港路130號,1,703.0,"120.522001 ","24.201364 ",三德里,烏日分局
15.0,臺中市龍井區工業路246巷3號,1,2952.0,"120.522623 ","24.204272 ",忠和里,烏日分局
16.0,臺中市龍井區臨港路二段70號,1,73.0,"120.512201 ","24.215957 ",忠和里,烏日分局
17.0,臺中市龍井區三港路130號,1,581.0,"120.510675 ","24.220465 ",三德里,烏日分局
18.0,臺中市龍井區蚵寮路255巷54弄30號,1,231.0,"120.521508 ","24.204757 ",三德里,烏日分局
19.0,臺中市龍井區三港路500巷9號,1,27.0,"120.510820 ","24.211520 ",龍津里,烏日分局
20.0,臺中市烏日區中山路一段217號,1,32.0,"120.508574 ","24.206952 ",前竹里,烏日分局
21.0,臺中市烏日區中山路一段229巷28號,1,11.0,"120.644493 ","24.109462 ",前竹里,烏日分局
22.0,臺中市烏日區中山路一段265巷22號,1,60.0,"120.644217 ","24.108176 ",前竹里,烏日分局
23.0,臺中市烏日區五光路501號,1,121.0,"120.642973 ","24.107140 ",光明里,烏日分局
24.0,臺中市烏日區中山路一段229巷26號,1,36.0,"120.641548 ","24.093864 ",前竹里,烏日分局
25.0,臺中市烏日區中山路一段229巷22弄1號,1,22.0,"120.644249 ","24.108414 ",前竹里,烏日分局
26.0,臺中市烏日區中山路一段265巷10號,1,55.0,"120.643930 ","24.108305 ",前竹里,烏日分局
27.0,臺中市烏日區中山路一段265巷12號,1,57.0,"120.642521 ","24.107824 ",前竹里,烏日分局
28.0,臺中市烏日區中山路一段265巷20號,1,94.0,"120.642611 ","24.107731 ",前竹里,烏日分局
29.0,臺中市烏日區中山路一段229巷18號,1,107.0,"120.642405 ","24.108467 ",前竹里,烏日分局
30.0,臺中市烏日區中山路一段229巷36弄1號,1,17.0,"120.644086 ","24.108680 ",前竹里,烏日分局
31.0,臺中市烏日區中山路一段229巷25弄10號,1,64.0,"120.644308 ","24.107212 ",前竹里,烏日分局
32.0,臺中市烏日區中山路一段229巷27號,1,46.0,"120.645190 ","24.108464 ",前竹里,烏日分局
33.0,臺中市烏日區中山路一段229巷22弄6號,1,40.0,"120.644454 ","24.109023 ",前竹里,烏日分局
34.0,臺中市烏日區中山路一段265巷30號,1,80.0,"120.643738 ","24.108649 ",前竹里,烏日分局
35.0,臺中市烏日區中山路一段和平巷150弄1號,1,37.0,"120.643887 ","24.106864 ",前竹里,烏日分局
36.0,臺中市烏日區中山路一段和平巷65號,1,367.0,"120.646458 ","24.109435 ",前竹里,烏日分局
37.0,臺中市烏日區中山路一段和平巷67號,1,367.0,"120.645210 ","24.107209 ",前竹里,烏日分局
38.0,臺中市烏日區中山路一段229巷36弄12號,1,160.0,"120.645082 ","24.107278 ",前竹里,烏日分局
39.0,臺中市烏日區中山路一段229巷36弄1號,1,33.0,"120.643570 ","24.107984 ",前竹里,烏日分局
40.0,臺中市烏日區五光路復光四巷30號,1,167.0,"120.644308 ","24.107212 ",光明里,烏日分局
41.0,臺中市烏日區溪南路一段238巷198號,1,511.0,"120.637247 ","24.097856 ",東園里,烏日分局
42.0,臺中市烏日區環河路二段336號,1,686.0,"120.639515 ","24.084346 ",光明里,烏日分局
43.0,臺中市烏日區溪南路一段126巷328號,2,1268.0,"120.637230 ","24.094646 ",東園里,烏日分局
44.0,臺中市烏日區光明路333號,1,931.0,"120.638009 ","24.085436 ",前竹里,烏日分局
45.0,臺中市烏日區中山路一段229巷16號,1,382.0,"120.650189 ","24.108294 ",前竹里,烏日分局
46.0,臺中市烏日區五光路35巷35號,1,1498.0,"120.644132 ","24.109151 ",五光里,烏日分局
47.0,臺中市龍井區沙田路五段265號,1,11.0,120.66011,24.09561,龍泉里,烏日分局
48.0,臺中市龍井區沙田路五段273號,1,31.0,"120.546988 ","24.199968 ",龍泉里,烏日分局
49.0,臺中市龍井區沙田路五段70號,1,81.0,"120.547002 ","24.200153 ",龍泉里,烏日分局
50.0,臺中市龍井區沙田路五段193號,1,48.0,"120.546569 ","24.194852 ",龍泉里,烏日分局
51.0,臺中市龍井區觀光路9號,1,100.0,"120.546414 ","24.197721 ",竹坑里,烏日分局
52.0,臺中市龍井區沙田路四段32號,1,92.0,"120.543370 ","24.192131 ",竹坑里,烏日分局
53.0,臺中市龍井區沙田路四段238號,1,220.0,"120.543569 ","24.172761 ",竹坑里,烏日分局
54.0,臺中市龍井區中山一路120巷30號,1,1332.0,"120.545409 ","24.179957 ",山腳里,烏日分局
55.0,臺中市龍井區沙田路四段104號,1,202.0,"120.544627 ","24.216811 ",竹坑里,烏日分局
56.0,臺中市龍井區沙田路四段247號,1,2055.0,"120.544720 ","24.175315 ",龍泉里,烏日分局
57.0,臺中市龍井區龍社八街2號,1,649.0,"120.545697 ","24.192812 ",龍泉里,烏日分局
58.0,臺中市龍井區沙田路六段223號,1,566.0,"120.564288 ","24.195532 ",山腳里,烏日分局
59.0,臺中市龍井區觀光路9號,1,250.0,"120.549882 ","24.209523 ",竹坑里,烏日分局
60.0,臺中市龍井區中山一路一段6號,1,1284.0,"120.543550 ","24.191905 ",山腳里,烏日分局
61.0,臺中市龍井區竹師路二段75巷30號,2,1031.0,"120.550870 ","24.214147 ",龍崗里,烏日分局
62.0,臺中市龍井區龍新路162號,1,717.0,"120.548648 ","24.188949 ",龍泉里,烏日分局
63.0,臺中市龍井區沙田路六段315之7號,2,1786.0,120.54759,24.19661,山腳里,烏日分局
64.0,"臺中市龍井區龍泉里1鄰沙田路五段321號四樓之8
",2,3992.0,120.551201,24.212079,龍泉里,烏日分局
65.0,臺中市龍井區龍泉里8鄰龍新路255號,1,152.0,120.54987,24.19641,龍泉里,烏日分局
66.0,臺中市烏日區溪南路二段476號,1,387.0,"120.644364 ","24.059194 ",北里里,烏日分局
67.0,臺中市烏日區溪南路二段370號,1,314.0,"120.642822 ","24.062339 ",螺潭里,烏日分局
68.0,臺中市烏日區溪南路一段793巷8號,1,18.0,"120.643850 ","24.070016 ",溪壩里,烏日分局
69.0,臺中市龍井區茄投路132巷8號,1,735.0,"120.524790 ","24.179814 ",龍西里,烏日分局
70.0,臺中市龍井龍鄰文昌路697號,1,191.0,"120.531240 ","24.182527 ",龍東里,烏日分局
71.0,臺中市龍井區龍門路51號,1,98.0,"120.529644 ","24.184332 ",龍西里,烏日分局
72.0,臺中市龍井區龍門路46之1號,2,396.0,"120.530013 ","24.182138 ",龍東里,烏日分局
73.0,臺中市龍井區三港路1號,01,148.0,"120.522623 ","24.204272 ",麗水里,烏日分局
74.0,臺中市龍井區中沙路2號,1,28.0,"120.575984 ","24.179444 ",新庄里,烏日分局
75.0,臺中市龍井區遊園南路361巷19號,1,261.0,"120.583924 ","24.176997 ",新東里,烏日分局
76.0,臺中市龍井區中沙路新庄仔巷2號,1,111.0,"120.575984 ","24.179444 ",新庄里,烏日分局
77.0,臺中市龍井區中沙路新庄仔巷2號,1,555.0,"120.576511 ","24.179451 ",新庄里,烏日分局
78.0,臺中市龍井區臺灣大道五段43號,1,2275.0,"120.591708 ","24.183264 ",新東里,烏日分局
79.0,臺中市龍井區新興路25巷1弄15號,1,139.0,"120.588655 ","24.179940 ",新東里,烏日分局
80.0,臺中市龍井區新興路7巷8號,1,332.0,"120.591423 ","24.180740 ",新東里,烏日分局
81.0,臺中市龍井區新興路11巷6號,1,362.0,"120.590875 ","24.180641 ",新東里,烏日分局
82.0,臺中市龍井區新興路22巷3弄10號,1,300.0,"120.589048 ","24.181975 ",新東里,烏日分局
83.0,臺中市龍井區新興路49巷21號,1,150.0,"120.587316 ","24.180313 ",新東里,烏日分局
84.0,臺中市龍井區新興路22巷1弄2之8號,1,265.0,"120.589061 ","24.181190 ",新東里,烏日分局
85.0,臺中市龍井區新興路25巷1弄15號,1,77.0,"120.588655 ","24.179940 ",新東里,烏日分局
86.0,臺中市龍井區中沙路2號,1,967.0,"120.576511 ","24.179451 ",新庄里,烏日分局
87.0,臺中市龍井區臺灣大道五段3巷30弄10號,1,135.0,"120.592358 ","24.182511 ",新東里,烏日分局
88.0,"臺中市龍井區臺灣大道五段3巷42 弄87號",1,78.0,"120.589581 ","24.183102 ",新東里,烏日分局
89.0,臺中市龍井區新興路13巷6號,1,350.0,"120.590642 ","24.180980 ",新東里,烏日分局
90.0,臺中市龍井區臺灣大道五段1號,1,197.0,"120.593235 ","24.182618 ",新東里,烏日分局
91.0,臺中市龍井區新興路49巷11號,1,93.0,"120.587402 ","24.180828 ",新東里,烏日分局
92.0,臺中市龍井區新興路53巷15號,1,154.0,"120.586265 ","24.180244 ",新東里,烏日分局
93.0,臺中市龍井區新興路11巷10號,1,128.0,"120.590784 ","24.180401 ",新東里,烏日分局
94.0,臺中市龍井區臺灣大道五段109巷15號,1,404.0,"120.589669 ","24.183637 ",新東里,烏日分局
95.0,臺中市龍井區新興路62巷16號,1,134.0,"120.586763 ","24.182077 ",新東里,烏日分局
96.0,臺中市龍井區臺灣大道五段109巷13號,1,404.0,"120.589669 ","24.183637 ",新東里,烏日分局
97.0,臺中市龍井區新興路22巷2弄26號,1,492.0,"120.588624 ","24.182082 ",新東里,烏日分局
98.0,臺中市龍井區遠東街208巷5號,1,633.0,"120.597121 ","24.188606 ",東海里,烏日分局
99.0,臺中市龍井區新興路16之2號,1,187.0,"120.590079 ","24.181049 ",新東里,烏日分局
100.0,臺中市龍井區新興路16之1號,1,130.0,"120.590191 ","24.181055 ",新東里,烏日分局
101.0,臺中市龍井區中沙路新庄仔巷32之1號,1,579.0,"120.576837 ","24.181262 ",新庄里,烏日分局
102.0,臺中市龍井區新興路53巷14號,1,159.0,"120.586065 ","24.180463 ",新東里,烏日分局
103.0,臺中市龍井區向上路六段1號,1,322.0,"120.581530 ","24.175619 ",南寮里,烏日分局
104.0,臺中市龍井區新興路53巷3號,1,233.0,"120.586597 ","24.181211 ",新東里,烏日分局
105.0,臺中市龍井區向上路六段418號,01,83.0,"120.574716 ","24.179095 ",新庄里,烏日分局
106.0,臺中市龍井區中沙路新庄仔巷2號,1,601.0,"120.575804 ","24.180957 ",新庄里,烏日分局
107.0,臺中市龍井區新興路48號,1,151.0,"120.587110 ","24.181477 ",新東里,烏日分局
108.0,臺中市龍井區向上路六段388號,1,677.0,"120.574535 ","24.178730 ",新庄里,烏日分局
109.0,臺中市龍井區新仁路22巷67號,1,1462.0,"120.578468 ","24.184621 ",新庄里,烏日分局
110.0,臺中市龍井區新興路22巷17號,1,161.0,"120.589884 ","24.181797 ",新東里,烏日分局
111.0,臺中市龍井區臺灣大道五段3巷42弄78號,1,244.0,"120.590277 ","24.182918 ",新東里,烏日分局
112.0,臺中市龍井區中沙路新庄仔巷43之13號,1,166.0,"120.577134 ","24.181524 ",新庄里,烏日分局
113.0,臺中市龍井區遠東街30號,1,3284.0,120.58821,24.19081,新東里,烏日分局
114.0,臺中市龍井區遠東街81巷1號,1,4204.0,120.59159,24.19049,新東里,烏日分局
115.0,臺中市龍井區新興路55巷2號,1,210.0,120.58596,24.18143,新東里,烏日分局
116.0,臺中市龍井區新興路5巷11號,1,308.0,120.59184,24.18082,新東里,烏日分局
117.0,臺中市龍井區新興路25巷2弄17號,1,255.0,120.58823,24.17948,新東里,烏日分局
118.0,臺中市龍井區新興路53巷5號,1,205.0,120.58652,24.18141,新東里,烏日分局
119.0,臺中市龍井區遊園南路152號,1,271.0,120.58456,24.18351,新庄里,烏日分局
120.0,臺中市龍井區新興路11巷21號,1,148.0,120.59095,24.18048,新東里,烏日分局
121.0,臺中市龍井區遊園南路143巷95號,1,137.0,120.58749,24.18246,新東里,烏日分局
122.0,臺中市龍井區新興路15巷9號,1,141.0,120.590376,24.180301,新東里,烏日分局
123.0,臺中市大肚區南榮路101號,1,18.0,120.590256,24.1801,中和里,烏日分局
124.0,臺中市大肚區沙田路一段632號,1,54.0,120.587524,24.181097,社腳里,烏日分局
125.0,臺中市大肚區興和路324號,1,54.0,120.587278,24.181776,王田里,烏日分局
126.0,臺中市大肚區興中路63號,1,52.0,"120.580433 ","24.111829 ",王田里,烏日分局
127.0,臺中市大肚區沙田路一段320巷37號,1,57.0,"120.559698 ","24.126702 ",王田里,烏日分局
128.0,臺中市大肚區沙田路一段662巷28號,1,93.0,"120.581163 ","24.122620 ",社腳里,烏日分局
129.0,臺中市大肚區沙田路一段320巷41號,1,95.0,"120.585297 ","24.115658 ",王田里,烏日分局
130.0,臺中市大肚區沙田路一段667號,1,33.0,"120.570269 ","24.126878 ",社腳里,烏日分局
131.0,臺中市大肚區王福街1號,1,183.0,"120.558404 ","24.129328 ",王田里,烏日分局
132.0,臺中市大肚區沙田路一段667號之1,1,120.0,"120.570041 ","24.127509 ",社腳里,烏日分局
133.0,臺中市大肚區王福街988巷88弄48號,1,80.0,"120.558108 ","24.127061 ",福山里,烏日分局
134.0,臺中市大肚區沙田路一段388巷35號之10,1,116.0,"120.582368 ","24.120431 ",福山里,烏日分局
135.0,臺中市大肚區沙田路一段453號,1,222.0,"120.558108 ","24.127061 ",福山里,烏日分局
136.0,臺中市大肚區興和路279號,1,341.0,"120.565934 ","24.127927 ",王田里,烏日分局
