編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,六寶里,臺中市大雅區六寶里光復路15號,1,776.0,大雅分局,"120.636219 ","24.238871 "
2.0,秀山里,臺中市大雅區秀山里秀山路365號,1,340.0,大雅分局,"120.631951 ","24.221330 "
3.0,大雅里,臺中市大雅區大雅里中清東路226號,2,1466.0,大雅分局,"120.647150 ","24.224737 "
4.0,上楓里,臺中市大雅區上楓里楓林街232號,1,842.0,大雅分局,"120.666811 ","24.236395 "
5.0,三和里,臺中市大雅區三和里雅潭路四段336號,1,1410.0,大雅分局,"120.660431 ","24.220029 "
6.0,三和里,臺中市大雅區三和里雅潭路四段332號,1,1410.0,大雅分局,"120.662102 ","24.219909 "
7.0,二和里,臺中市大雅區二和里學府路230號,1,622.0,大雅分局,"120.650025 ","24.222083 "
8.0,東寶里,臺中市潭子區東寶里雅潭路三段2號,1,747.0,大雅分局,"120.684273 ","24.216801 "
9.0,潭秀里,臺中市潭子區潭秀里中山路二段399號,1,100.0,大雅分局,"120.705020 ","24.213536 "
10.0,頭家里,臺中市潭子區頭家里得福街185號,1,4373.0,大雅分局,"120.696267 ","24.195912 "
11.0,聚興里,臺中市潭子區聚興里潭興路一段165巷300號,1,4185.0,大雅分局,"120.717735 ","24.196760 "
12.0,聚興里,臺中市潭子區聚興里潭興路一段165巷320號,1,6533.0,大雅分局,"120.716679 ","24.194410 "
13.0,聚興里,臺中市潭子區聚興里豐興路一段139號,1,1168.0,大雅分局,"120.718165 ","24.193916 "
14.0,聚興里,臺中市潭子區聚興里潭興路一段25號,1,617.0,大雅分局,"120.725508 ","24.203885 "
15.0,聚興里,臺中市潭子區聚興里豐興路一段512號,1,3180.0,大雅分局,"120.722927 ","24.203641 "
16.0,聚興里,臺中市潭子區聚興里豐興路一段500號,1,13072.0,大雅分局,"120.722674 ","24.201630 "
17.0,新田里,臺中市潭子區潭興路1段258巷16號,1,737.0,大雅分局,"120.719490 ","24.209410 "
18.0,雅楓里,臺中市大雅區民生路3段267巷12號,1,320.0,大雅分局,"120.659750 ","24.233490 "
19.0,大雅里,臺中市大雅區雅潭路4段837號,1,994.0,大雅分局,"120.647890 ","24.220830 "
20.0,雅楓里,臺中市大雅區德勝路123號,1,44.0,大雅分局,"120.660940 ","24.229850 "
21.0,雅楓里,臺中市大雅區民生路3段267巷10號,1,182.0,大雅分局,"120.659750 ","24.233490 "
22.0,四德里,臺中市大雅區中清路3段735號,1,580.0,大雅分局,"120.649900 ","24.211950 "
23.0,四德里,臺中市大雅區中清路3段551巷35號,1,446.0,大雅分局,"120.649950 ","24.210630 "
24.0,上楓里,臺中市大雅區楓林街232號,1,525.0,大雅分局,"120.666811 ","24.236395 "
25.0,四德里,臺中市大雅區中清路3段739號,1,295.0,大雅分局,"120.649640 ","24.212340 "
26.0,六寶里,臺中市大雅區中清路4段858號,1,493.0,大雅分局,"120.631580 ","24.239920 "
27.0,大雅里,臺中市大雅區大雅路50號,1,276.0,大雅分局,"120.649090 ","24.224110 "
28.0,大雅里,臺中市大雅區中清東路196號,1,186.0,大雅分局,"120.647800 ","24.224030 "
