建築物名稱,里別,地址,緯度,經度,避難樓層,可容納人數,轄管分局,備註
狀元台北社區,福祿里,桃園市蘆竹區五福六路48號,"25.054697 ","121.296994 ",B01,1376.0,蘆竹分局,
台灣水泥,內厝里,桃園市蘆竹區長安路一段148號,"25.065377 ","121.288889 ",B01,1367.0,蘆竹分局,
洛督工程公司,中山里,桃園市蘆竹區福祿一街202號,"25.057814 ","121.296099 ",B01,1484.0,蘆竹分局,
私人住宅,瓦窯里,桃園市蘆竹區南山路一段349巷9號,"25.058440 ","121.287972 ",B01,103.0,蘆竹分局,
私人住宅,瓦窯里,桃園市蘆竹區南山路一段349巷21號,"25.058374 ","121.287513 ",B01,149.0,蘆竹分局,
私人住宅,瓦窯里,桃園市蘆竹區南山路一段349巷3號,"25.058487 ","121.288191 ",B01,94.0,蘆竹分局,
五福雅居小品社區,瓦窯里,桃園市蘆竹區五福路100號,"25.050319 ","121.293700 ",B01,372.0,蘆竹分局,
通勝電子公司,瓦窯里,桃園市蘆竹區南山路一段179巷17號,"25.056501 ","121.288828 ",B01,66.0,蘆竹分局,
象牙食品公司,瓦窯里,桃園市蘆竹區六福路93號,"25.058230 ","121.294830 ",B01,49.0,蘆竹分局,
天鵝堡社區,羊稠里,桃園市蘆竹區中山路48巷27號,"25.054137 ","121.300117 ",B01,26.0,蘆竹分局,
蘆竹區公所,南崁里,桃園市蘆竹區南崁路150號,25.0471543,121.294677,B01,1054.0,蘆竹分局,
龍偉電子公司,錦興里,桃園市蘆竹區錦秀街4號,"25.049178 ","121.286072 ",B01,28.0,蘆竹分局,
達鑫公司,錦興里,桃園市蘆竹區錦秀街12號,"25.049469 ","121.286090 ",B01,97.0,蘆竹分局,
達鑫公司,錦興里,桃園市蘆竹區錦秀街14號,"25.049545 ","121.286086 ",B01,97.0,蘆竹分局,
白鷺之鄉社區,錦興里,桃園市蘆竹區錦秀街13巷1號,"25.050208 ","121.285803 ",B01,497.0,蘆竹分局,
威震國際公司,錦興里,桃園市蘆竹區錦華路43巷8號,"25.049167 ","121.285364 ",B01,57.0,蘆竹分局,
威震國際公司,錦興里,桃園市蘆竹區錦華路43巷6號,"25.049230 ","121.285362 ",B01,63.0,蘆竹分局,
威震國際公司,錦興里,桃園市蘆竹區錦華路43巷4號,"25.049285 ","121.285359 ",B01,63.0,蘆竹分局,
百富公司,錦興里,桃園市蘆竹區錦華路43巷2號,"25.049340 ","121.285357 ",B01,62.0,蘆竹分局,
白鷺之鄉社區,錦興里,桃園市蘆竹區錦秀街18號,"25.050111 ","121.286097 ",B01,290.0,蘆竹分局,
白鷺之鄉社區,錦興里,桃園市蘆竹區錦秀街16號,"25.049621 ","121.286090 ",B01,102.0,蘆竹分局,
