電腦編號,鄉鎮市區,村里別,地址,經度,緯度,避難樓層,可容納人數,轄管分局
ZN2253,楠梓區,仁昌里,高雄市楠梓區仁昌里壽豐路424號,120.296251,22.724967,B2,283.0,楠梓分局
ZN2254,楠梓區,慶昌里,高雄市楠梓區慶昌里新昌街111號,120.298608,22.711244,B1,168.0,楠梓分局
ZN2255,楠梓區,翠屏里,高雄市楠梓區翠屏里德祥路87號,120.310997,22.727508,B1,178.0,楠梓分局
ZN2256,楠梓區,中陽里,高雄市楠梓區中陽里朝明路118號,120.32826,22.724112,B1,272.0,楠梓分局
ZN2257,楠梓區,仁昌里,高雄市楠梓區仁昌里壽豐路405號,120.296664,22.72472,B1,407.0,楠梓分局
ZN2258,楠梓區,翠屏里,高雄市楠梓區翠屏里德民路150號,120.310586,22.727018,B1,930.0,楠梓分局
ZN2260,楠梓區,中陽里,高雄市楠梓區中陽里朝明路125巷1號,120.327555,22.723569,B1,245.0,楠梓分局
ZN2262,楠梓區,加昌里,高雄市楠梓區加昌里樂群路59號,120.297796,22.716215,B1,529.0,楠梓分局
ZN2264,楠梓區,隆昌里,高雄市楠梓區隆昌里軍校路780之2號,120.293082,22.709585,B1,160.0,楠梓分局
ZN2265,楠梓區,翠屏里,高雄市楠梓區翠屏里德民路356巷18號,120.304748,22.725981,B1,429.0,楠梓分局
ZN2266,楠梓區,翠屏里,高雄市楠梓區翠屏里德賢路220巷22號,120.305933,22.726989,B1,548.0,楠梓分局
ZN2267,楠梓區,享平里,高雄市楠梓區享平里楠梓東街61號,120.329886,22.729448,B1,91.0,楠梓分局
ZN2268,楠梓區,翠屏里,高雄市楠梓區翠屏里德賢路17號,120.310999,22.728673,B1,477.0,楠梓分局
ZN2269,楠梓區,翠屏里,高雄市楠梓區翠屏里德維街11號,120.310331,22.72765,B1,539.0,楠梓分局
ZN2270,楠梓區,翠屏里,高雄市楠梓區翠屏里加仁路70巷3號,120.301462,22.727872,B1,698.0,楠梓分局
