電腦編號,里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
D5,橫山里,臺中市西屯區科園三路1號,"24.201838,120.61535",1.0,3640.0,保二三大二中,中科
D7,林厝里,臺中市西屯區科園三路7號,"24.201838,120.61535",1.0,4143.0,保二三大二中,中科
