編號,地址,經度,緯度,里別,避難所在之地下樓層數,可容納人數,轄管分局,"unnamed (1)","unnamed (2)"
59.0,臺中市北區崇德里北興街166號," 120.68640",24.164219,崇德里,1.0,"  1,026 ",第二分局,,
60.0,臺中市北區頂厝里北興街336號," 120.68185",24.164293,頂厝里,2.0,"  473 ",第二分局,,
61.0,臺中市北區賴明里青島路一段429號," 120.67445",24.169336,賴明里,1.0,"  364 ",第二分局,,
62.0,臺中市北區賴村里進化北路367號,120.681558,24.154553,賴村里,2.0,"  957 ",第二分局,,
63.0,臺中市北區明新里太原八街126號," 120.67264",24.165653,明新里,1.0,"  296 ",第二分局,,
64.0,臺中市北區梅川里天津路二段192號,120.678422,24.169685,梅川里,1.0,"  358 ",第二分局,,
65.0,臺中市北區梅川里梅川西路四段149號,120.6787579,24.16918017,梅川里,3.0,"  2,827 ",第二分局,,
66.0,臺中市北區梅川里永興街367號," 120.68276",24.168333,梅川里,1.0,"  2,036 ",第二分局,,
67.0,臺中市北區頂厝里漢口路四段367號," 120.68282",24.167456,頂厝里,2.0,"  1,012 ",第二分局,,
68.0,臺中市北區金龍里益華街109號,120.689549,24.161117,金龍里,1.0,"  265 ",第二分局,,
69.0,臺中市北區金龍里梅亭街21號,120.690504,24.15996,金龍里,1.0,"  166 ",第二分局,,
70.0,臺中市北區金龍里北屯路45號,120.691647,24.160473,金龍里,1.0,"  104 ",第二分局,,
71.0,臺中市北區育德里篤行路398號,120.673759,24.157985,育德里,1.0,"  651 ",第二分局,,
72.0,臺中市北區邱厝里學士路151號,120.680775,24.158294,邱厝里,1.0,"  364 ",第二分局,,
73.0,臺中市北區邱厝里美德街48號,120.683381,24.157768,邱厝里,1.0,"  416 ",第二分局,,
74.0,臺中市北區邱厝里大義街29巷37號,120.682682,24.158618,邱厝里,1.0,"  923 ",第二分局,,
75.0,"臺中市北區邱厝里崇德路168巷6號 ",120.6851609,24.15877195,邱厝里,1.0,"  216 ",第二分局,,
76.0,臺中市北區邱厝里崇德路一段106號,120.685399,24.157382,邱厝里,1.0,"  333 ",第二分局,,
77.0,臺中市北區邱厝里健行路321號,120.684306,24.15889,邱厝里,1.0,"  500 ",第二分局,,
78.0,臺中市北區邱厝里健行路371號," 120.68272",24.159194,邱厝里,2.0,"  989 ",第二分局,,
79.0,臺中市北區邱厝里健行路431號,120.681296,24.158956,邱厝里,1.0,"  468 ",第二分局,,
80.0,臺中市北區邱厝里美德街42號,120.683522,24.157788,邱厝里,1.0,"  183 ",第二分局,,
81.0,臺中市北區邱厝里美德街68巷8號,120.68342,24.157831,邱厝里,1.0,"  571 ",第二分局,,
82.0,臺中市北區邱厝里大義街22號之5,120.683831,24.158420,邱厝里,1.0,"  861 ",第二分局,,
83.0,臺中市北區賴村里梅亭街281號,120.680696,24.160499,賴村里,1.0,"  3,102 ",第二分局,,
84.0,臺中市北區崇德里太原路三段30號,120.68633,24.164909,崇德里,1.0,"  345 ",第二分局,,
85.0,臺中市北區賴村里德化街435號,120.677538,24.161598,賴村里,1.0,"  223 ",第二分局,,
86.0,臺中市北區賴村里進化北路435號,120.676012,24.162973,賴村里,1.0,"  586 ",第二分局,,
87.0,臺中市北區頂厝里青島路三段180號,120.683478,24.168706,頂厝里,3.0,"  2,790 ",第二分局,,
88.0,臺中市北區頂厝里北興街322號,120.682005,24.164133,頂厝里,2.0,"  473 ",第二分局,,
89.0,臺中市北區賴村里德化街439號,120.677083,24.161608,賴村里,1.0,"  254 ",第二分局,,
90.0,臺中市北區賴厝里太原路二段1號,120.674257,24.165334,賴厝里,2.0,"  667 ",第二分局,,
91.0,臺中市北區賴福里大德街253號,120.678223,24.164406,賴福里,1.0,"  285 ",第二分局,,
92.0,臺中市北區建興里健行路354號,120.682933,24.159392,建興里,2.0,"  1,093 ",第二分局,,
93.0,臺中市北區賴村里進化北路369號,120.678521,24.162927,賴村里,1.0,"  520 ",第二分局,,
94.0,臺中市北區賴村里進化北路365號,120.679325,24.162846,賴村里,1.0,"  2,119 ",第二分局,,
95.0,臺中市北區賴村里尚德街110號,120.677561,24.160875,賴村里,1.0,"  221 ",第二分局,,
