類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,placemark_address
公寓,34.0,仁愛里,雲林縣斗六市仁愛里成功路102號,1.0,242.0,斗六分局,,雲林縣斗六市仁愛里成功路102號
公寓,35.0,仁愛里,雲林縣斗六市仁愛里中華路100號,1.0,468.0,斗六分局,,雲林縣斗六市仁愛里中華路100號
斗六家商(忠孝樓),36.0,仁愛里,雲林縣斗六市仁愛里成功路120號,1.0,348.0,斗六分局,,雲林縣斗六市仁愛里成功路120號
斗六家商(仁愛樓),37.0,仁愛里,雲林縣斗六市仁愛里成功路120號,1.0,102.0,斗六分局,,雲林縣斗六市仁愛里成功路120號
斗六家商(信義樓),38.0,仁愛里,雲林縣斗六市仁愛里成功路120號,1.0,108.0,斗六分局,,雲林縣斗六市仁愛里成功路120號
斗六家商大禮堂,39.0,仁愛里,雲林縣斗六市仁愛里成功路120號,1.0,2448.0,斗六分局,,雲林縣斗六市仁愛里成功路120號
大樓,40.0,公正里,雲林縣斗六市公正里6鄰凱旋街56號,1.0,1824.0,斗六分局,,雲林縣斗六市公正里6鄰凱旋街56號
公寓,41.0,公正里,雲林縣斗六市公正里1鄰莊敬路347巷30弄11號,1.0,6880.0,斗六分局,,雲林縣斗六市公正里1鄰莊敬路347巷30弄11號
公寓,42.0,公正里,雲林縣斗六市公正里11鄰中正路137巷22號,1.0,162.0,斗六分局,,雲林縣斗六市公正里11鄰中正路137巷22號
公寓,43.0,公正里,雲林縣斗六市公正里15鄰中正路217巷19弄2號,1.0,309.0,斗六分局,,雲林縣斗六市公正里15鄰中正路217巷19弄2號
公寓,44.0,公正里,雲林縣斗六市公正里12鄰中正路137巷20號,1.0,198.0,斗六分局,,雲林縣斗六市公正里12鄰中正路137巷20號
公寓,45.0,公正里,雲林縣斗六市公正里17鄰平等街30至36號,1.0,540.0,斗六分局,,雲林縣斗六市公正里17鄰平等街30至36號
公寓,46.0,公正里,雲林縣斗六市公正里18鄰中正路217巷37號,1.0,134.0,斗六分局,,雲林縣斗六市公正里18鄰中正路217巷37號
公寓,47.0,公正里,雲林縣斗六市公正里城頂街11號,1.0,2137.0,斗六分局,,雲林縣斗六市公正里城頂街11號
