電腦編號,建築物名稱,鄉鎮市區,村里別,地址,地下樓層,可容納人數,轄管分局
XG0765,永記塑膠公司,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰中利街8號,1.0,600.0,小港分局
XG0868,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96號,1.0,13.0,小港分局
XG0869,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之1號,1.0,13.0,小港分局
XG0870,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之2號,1.0,13.0,小港分局
XG0871,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路96之3號,1.0,12.0,小港分局
XG0873,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95號,1.0,13.0,小港分局
XG0874,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之1號,1.0,13.0,小港分局
XG0875,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之2號,1.0,13.0,小港分局
XG0876,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之3號,1.0,13.0,小港分局
XG0877,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之4號,1.0,13.0,小港分局
XG0878,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之5號,1.0,13.0,小港分局
XG0879,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之6號,1.0,13.0,小港分局
XG0880,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之7號,1.0,13.0,小港分局
XG0881,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之8號,1.0,12.0,小港分局
XG0882,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路95之9號,1.0,12.0,小港分局
XG0900,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里9鄰丹山二路16之1號,1.0,13.0,小港分局
XG0954,砂石場,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路34號,1.0,142.0,小港分局
XG1006,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里13鄰丹山三路51之1號,1.0,45.0,小港分局
XG1007,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里13鄰丹山三路51號,1.0,22.0,小港分局
XG1028,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里16鄰丹山一路15之6號,1.0,41.0,小港分局
XG1029,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里16鄰丹山一路15之5號,1.0,41.0,小港分局
XG1274,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之10號,1.0,15.0,小港分局
XG1275,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之11號,1.0,15.0,小港分局
XG1276,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之12號,1.0,14.0,小港分局
XG1277,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之13號,1.0,14.0,小港分局
XG1278,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3號,1.0,14.0,小港分局
XG1279,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之1號,1.0,14.0,小港分局
XG1280,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之2號,1.0,14.0,小港分局
XG1281,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之3號,1.0,14.0,小港分局
XG1282,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之4號,1.0,14.0,小港分局
XG1283,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之5號,1.0,14.0,小港分局
XG1284,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之6號,1.0,14.0,小港分局
XG1285,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之7號,1.0,15.0,小港分局
XG1286,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之8號,1.0,14.0,小港分局
XG1287,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里2鄰丹山一路3之9號,1.0,15.0,小港分局
XG1479,台合通運公司,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路40號,1.0,279.0,小港分局
XG1637,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里4鄰丹山二路25之7號,1.0,20.0,小港分局
XG1638,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里4鄰丹山二路25之8號,1.0,20.0,小港分局
XG1640,砂石場,小港區,鳳鳴里,高雄市小港區鳳鳴里17鄰沿海三路36號,1.0,427.0,小港分局
XG1693,如欲企業公司,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路32號,1.0,254.0,小港分局
XG1825,虹牌油漆公司,小港區,鳳鳴里,高雄市小港區鳳鳴里17鄰沿海三路26之3號,1.0,220.0,小港分局
XG1858,工廠,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路38號,1.0,313.0,小港分局
XG1955,盛源公司,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路21號,1.0,124.0,小港分局
XG2273,遠龍不銹鋼公司,小港區,鳳鳴里,高雄市小港區鳳鳴里1鄰大業南路28號,1.0,708.0,小港分局
XG2371,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里11鄰丹山三路18號,1.0,19.0,小港分局
XG2390,透天,小港區,鳳鳴里,高雄市小港區鳳鳴里3鄰丹山二路20之2號,1.0,12.0,小港分局
