編號,村里別,地址,可容納人數,轄區分局,經度,緯度,避難所在之地下樓層數
67.0,西安里,臺中市豐原區西安里西安街84號,17.0,豐原分局,"120.710378 ","24.248937 ",1.0
68.0,西安里,臺中市豐原區西安里西安街86號,20.0,豐原分局,"120.710331 ","24.248930 ",1.0
69.0,西安里,臺中市豐原區西安里西安街78號,20.0,豐原分局,"120.710509 ","24.248953 ",1.0
70.0,西安里,臺中市豐原區西安里西安街88號,20.0,豐原分局,"120.710290 ","24.248926 ",1.0
71.0,西安里,臺中市豐原區西安里西平街31號,23.0,豐原分局,"120.710139 ","24.249701 ",1.0
72.0,西安里,臺中市豐原區西安里西平街33號,23.0,豐原分局,"120.710200 ","24.249711 ",1.0
73.0,西安里,臺中市豐原區西安里安和路6號,23.0,豐原分局,"120.709147 ","24.248425 ",1.0
74.0,西安里,臺中市豐原區西安里安和路12號,23.0,豐原分局,"120.709035 ","24.248366 ",1.0
75.0,西安里,臺中市豐原區西安里安和路14號,23.0,豐原分局,"120.709006 ","24.248346 ",1.0
76.0,西安里,臺中市豐原區西安里中正路473號,23.0,豐原分局,"120.711444 ","24.250568 ",1.0
77.0,西安里,臺中市豐原區西安里中正路475號,23.0,豐原分局,"120.711399 ","24.250556 ",1.0
78.0,西安里,臺中市豐原區西安里中正路8弄30號,23.0,豐原分局,"120.713804 ","24.250879 ",1.0
79.0,西安里,臺中市豐原區西安里西安街76號,23.0,豐原分局,"120.710556 ","24.248961 ",1.0
80.0,西安里,臺中市豐原區西安里瑞興路10號,23.0,豐原分局,"120.710689 ","24.250181 ",1.0
81.0,西安里,臺中市豐原區西安里瑞興路16號,23.0,豐原分局,"120.710826 ","24.249151 ",1.0
82.0,西安里,臺中市豐原區西安里安和路10號,23.0,豐原分局,"120.709070 ","24.248384 ",1.0
83.0,西安里,臺中市豐原區西安里瑞興路44巷12號,23.0,豐原分局,"120.710340 ","24.249310 ",1.0
84.0,西安里,臺中市豐原區西安里西安街92巷26號,20.0,豐原分局,"120.710179 ","24.249293 ",1.0
85.0,西安里,臺中市豐原區西安里西平路18號,20.0,豐原分局,"120.709873 ","24.249585 ",1.0
86.0,西安里,臺中市豐原區西安里中正路387號,23.0,豐原分局,"120.713223 ","24.250800 ",1.0
87.0,西安里,臺中市豐原區西安里西安街72號之1,23.0,豐原分局,"120.710787 ","24.248995 ",1.0
88.0,西安里,臺中市豐原區西安里中正路491號,20.0,豐原分局,"120.711037 ","24.250509 ",1.0
89.0,西安里,臺中市豐原區西安里中正路433號,20.0,豐原分局,"120.712267 ","24.250688 ",1.0
90.0,西安里,臺中市豐原區西安里中正路435號,20.0,豐原分局,"120.712239 ","24.250684 ",1.0
91.0,西安里,臺中市豐原區西安里中正路353巷8弄29號,23.0,豐原分局,"120.713196 ","24.250308 ",1.0
