編號,村里別,地址,可容納人數,轄區分局,經度,緯度,避難所在之地下樓層數
240.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷46號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
241.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷48號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
242.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷83號,27.0,豐原分局,"120.714815 ","24.255549 ",1.0
243.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷76號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
244.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷77號,27.0,豐原分局,"120.714815 ","24.255549 ",1.0
245.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷79號,27.0,豐原分局,"120.714815 ","24.255549 ",1.0
246.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷44號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
247.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷81號,27.0,豐原分局,"120.714815 ","24.255549 ",1.0
248.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷42號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
249.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷84號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
250.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷63號,27.0,豐原分局,"120.714815 ","24.255549 ",1.0
251.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷75號,27.0,豐原分局,"120.714815 ","24.255549 ",1.0
252.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷90號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
253.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷70號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
254.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷72號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
255.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷52號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
256.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷60號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
257.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷62號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
