行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
萬華區,WZA00693,菜園里,臺北市萬華區長沙街二段169號,"25.04061,121.501869",1,"93 ",萬華分局,
萬華區,WZA02358,菜園里,臺北市萬華區長沙街二段173號,"25.040721,121.501554",1,"210 ",萬華分局,
萬華區,WZA00219,菜園里,臺北市萬華區西昌街115號,"25.040467,121.500774",1,"508 ",萬華分局,
萬華區,WZA00217,菜園里,臺北市萬華區西昌街111號,"25.040586,121.500775",1,"457 ",萬華分局,
萬華區,WZA02273,菜園里,臺北市萬華區長沙街二段152號,"25.040693,121.50121",1,"1120 ",萬華分局,
萬華區,WZA00967,菜園里,臺北市萬華區貴陽街二段161號,"25.040254,121.500568",1,"309 ",萬華分局,
萬華區,WZA02424,菜園里,臺北市萬華區貴陽街二段121號,"25.04032,121.501613",1,"1730 ",萬華分局,
萬華區,WZA01924,菜園里,臺北市萬華區西園路一段34巷14號,"25.040711,121.499554",1,"46 ",萬華分局,
萬華區,WZA02231,菜園里,臺北市萬華區環河南路一段181號,"25.040669,121.498811",1,"1310 ",萬華分局,
萬華區,WZA00309,菜園里,臺北市萬華區西園路一段34巷14號,"25.040711,121.499554",1,"129 ",萬華分局,
萬華區,WZA01597,菜園里,臺北市萬華區西園路一段42號,"25.040398,121.499819",1,"95 ",萬華分局,
萬華區,WZA02301,菜園里,臺北市萬華區西園路一段34巷34號,"25.040703,121.499042",1,"130 ",萬華分局,
萬華區,WZA00134,菜園里,臺北市萬華區內江街170號,"25.041751,121.500576",1,"122 ",萬華分局,
萬華區,WZA00699,菜園里,臺北市萬華區長沙街二段197號,"25.041164,121.500467",1,"290 ",萬華分局,
萬華區,WZA00698,菜園里,臺北市萬華區長沙街二段193號,"25.041083,121.500653",1,"89 ",萬華分局,
萬華區,WZA00255,菜園里,臺北市萬華區西昌街66號,"25.041646,121.500792",1,"318 ",萬華分局,
萬華區,WZA00313,菜園里,臺北市萬華區西園路一段23號,"25.041052,121.500094",1,"50 ",萬華分局,
萬華區,WZA00278,菜園里,臺北市萬華區西園路一段24號,"25.041049,121.499915",1,"53 ",萬華分局,
萬華區,WZA00258,菜園里,臺北市萬華區西昌街84號,"25.04118,121.500702",1,"332 ",萬華分局,
萬華區,WZA00257,菜園里,臺北市萬華區西昌街70號,"25.041546,121.500787",1,"114 ",萬華分局,
萬華區,WZA00256,菜園里,臺北市萬華區西昌街68號,"25.041616,121.500791",1,"142 ",萬華分局,
萬華區,WZA00697,菜園里,臺北市萬華區長沙街二段187號,"25.040941,121.501005",1,"128 ",萬華分局,
萬華區,WZA00696,菜園里,臺北市萬華區長沙街二段186號,"25.041326,121.499675",1,"206 ",萬華分局,
萬華區,WZA00695,菜園里,臺北市萬華區長沙街二段183-5號,"25.040904,121.501093",1,"176 ",萬華分局,
萬華區,WZA001927,菜園里,臺北市萬華區長沙街二段188號,"25.041357,121.499601",1,"206 ",萬華分局,
萬華區,WZA001926,菜園里,臺北市萬華區西園路一段15號,"25.041439,121.500238",1,"90 ",萬華分局,
萬華區,WZA001925,菜園里,臺北市萬華區西昌街76號,"25.041385,121.50075",1,"20 ",萬華分局,
萬華區,WZA001930,菜園里,臺北市萬華區西園路一段34巷25號,"25.040828,121.499183",1,"50 ",萬華分局,
萬華區,WZA001929,菜園里,臺北市萬華區環河南路一段155巷4號,"25.041004,121.499394",1,"20 ",萬華分局,
萬華區,WZA001928,菜園里,臺北市萬華區長沙街二段19號,"25.040735,121.506691",1,"20 ",萬華分局,
萬華區,WZA00271,菜園里,臺北市萬華區西園路一段15號,"25.041439,121.500238",1,"90 ",萬華分局,
萬華區,WZA00259,菜園里,臺北市萬華區西昌街91號,"25.041232,121.500915",1,"120 ",萬華分局,
萬華區,WZA00261,菜園里,臺北市萬華區西昌街95號,"25.041148,121.500863",1,"73 ",萬華分局,
萬華區,WZA001315,菜園里,臺北市萬華區環河南路一段157號,"25.041284,121.499482",1,"105 ",萬華分局,
萬華區,WZA001316,菜園里,臺北市萬華區環河南路一段163號,"25.041077,121.499211",1,"257 ",萬華分局,
萬華區,WZA00311,菜園里,臺北市萬華區西園路一段34巷17號,"25.040828,121.499354",1,"40 ",萬華分局,
萬華區,WZA01939,菜園里,臺北市萬華區西昌街46號,"25.042251,121.50064",1,"46 ",萬華分局,
